,database,scenario,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,50048.826509969076,43885.359098176115,28919.01374112142,31748.855831598783,35547.53405220702,39248.7832536852,40596.876478582315,40443.92163584947
1,B.sqlite,solve,50048.8265348173,38246.238080830175,7267.430058936352,6982.243353572699,6650.314969923703,391.0956236244901,4.731783077515998,4.555120131567998
