,database,scenario,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,50048.826509969105,48816.89311312395,33970.90236445171,33309.584900476926,37687.96643866053,41298.26191814798,44185.625629464375,47444.851874027285
1,B.sqlite,solve,50048.8265348173,39361.89835776896,7626.866243722499,7434.247182684669,7068.734580595967,391.0956236244901,6.0895165011999985,4.820114550489999
