,database,scenario,2018,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,38666.54616956227,36552.308670227416,23800.000106992982,19600.000015497735,14700.000000032624,9800.0000063629,4899.999988166899,0.0
1,B.sqlite,solve,38666.54616645361,43495.54221616931,5533.472958597459,5546.482497389532,5565.641036536329,5528.493008454834,1079.643797243881,0.0
