,database,scenario,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,50048.82651771529,48784.57534657526,33938.5846281333,33138.41577828601,37523.72908231434,41135.53795121621,44016.607517191864,47191.969365475044
1,B.sqlite,solve,50048.826474708796,39493.099428376976,7626.866256297499,7416.332947489565,7065.769682406568,392.3650255751999,6.089516501199999,5.398459483851798
