,database,scenario,2018,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,5.497829819912927,5.144517440996208,5.22601461889449,6.748389200353612,7.030954924310461,7.361226439520214,7.717966485072904,8.319217414064484
1,B.sqlite,solve,5.497677088297951,7.224435297608451,9.07128945299693,10.644843138759375,11.02547982683245,10.995275711124835,11.908890096623686,12.277217399725627
