,database,scenario,2018,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,38666.84182055,42672.237617391715,36617.24847475338,40719.540501148214,46221.00397940628,51412.94771628924,56640.350076691306,61832.29372260423
1,B.sqlite,solve,38666.5461691568,43495.54221053108,5533.472958597463,5546.482497389529,5565.641036536326,5528.493008454833,1079.6437969219612,4.1693976879622205
