,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,26505.339982315403,19886.853474242816,2766.21460499075,0.0,0.0,27.014378882722617,27.014378882722614
2,A.sqlite,solve,DSL_TAXED,12.522988037796168,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,HYDRO,22276.7018650436,54068.60069603263,52586.17048651334,51816.56755145324,51093.89033809732,50441.21315979742,46571.70112586845
6,A.sqlite,solve,MSW_LF_TAXED,11.77493335386439,10.671024519647927,10.180398372033205,7.8661647060151525,7.8661647060151525,9.321802613012995,8.953833001607508
7,A.sqlite,solve,NATGAS_TAXED,71381.78808488321,23412.66532706348,32748.482004921014,40512.16063990973,45139.102730000166,50112.41820353438,51109.10819052619
8,A.sqlite,solve,OIL_TAXED,1194.3472864777002,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,SOLAR,408.6214921435639,408.62149214356384,408.6214921435639,408.62149214356396,357.4215301581595,63.809576136881,0.0
10,A.sqlite,solve,WIND,277.0278733049556,32051.992518169372,52886.94684317065,63363.037307107086,73061.46271875473,82705.10800530022,99307.94016611298
