Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      0.011515942465778885    V_Activity[2017,fall,9,DIST,2017]
      0.013173121100181748    V_Activity[2017,fall,9,EC_SOLPV,2017]
      0.03671640728684889     V_Activity[2017,fall,9,IMPSOLAR,2017]
      0.011515942465778885    V_Activity[2017,fall,9,LOCAL,2017]
      0.012382733834170843    V_Activity[2017,fall,9,TRANS,2017]
      0.011775391062095904    V_Activity[2017,fall,10,DIST,2017]
      0.013469905127082937    V_Activity[2017,fall,10,EC_SOLPV,2017]
      0.03754361012853421     V_Activity[2017,fall,10,IMPSOLAR,2017]
      0.011775391062095904    V_Activity[2017,fall,10,LOCAL,2017]
      0.012661710819457961    V_Activity[2017,fall,10,TRANS,2017]
      0.01192138235780684     V_Activity[2017,fall,11,DIST,2017]
      0.013636905007786363    V_Activity[2017,fall,11,EC_SOLPV,2017]
      0.03800907579837289     V_Activity[2017,fall,11,IMPSOLAR,2017]
      0.01192138235780684     V_Activity[2017,fall,11,LOCAL,2017]
      0.012818690707319181    V_Activity[2017,fall,11,TRANS,2017]
      0.012008678249883602    V_Activity[2017,fall,12,DIST,2017]
      0.013736763040361016    V_Activity[2017,fall,12,EC_SOLPV,2017]
      0.03828740226079521     V_Activity[2017,fall,12,IMPSOLAR,2017]
      0.012008678249883602    V_Activity[2017,fall,12,LOCAL,2017]
      0.012912557257939355    V_Activity[2017,fall,12,TRANS,2017]
      0.01208821352797822     V_Activity[2017,fall,13,DIST,2017]
      0.013827743683342737    V_Activity[2017,fall,13,EC_SOLPV,2017]
      0.038540985471450594    V_Activity[2017,fall,13,IMPSOLAR,2017]
      0.01208821352797822     V_Activity[2017,fall,13,LOCAL,2017]
      0.012998079062342172    V_Activity[2017,fall,13,TRANS,2017]
      0.012130836383789485    V_Activity[2017,fall,14,DIST,2017]
      0.0578860270327198      V_Activity[2017,fall,14,EC_SOLPV,2017]
      0.16134118320081045     V_Activity[2017,fall,14,IMPSOLAR,2017]
      0.012130836383789485    V_Activity[2017,fall,14,LOCAL,2017]
      0.054412865410756614    V_Activity[2017,fall,14,TRANS,2017]
      0.012104299451098359    V_Activity[2017,fall,15,DIST,2017]
      0.08710950992794354     V_Activity[2017,fall,15,EC_SOLPV,2017]
      0.24279350510396924     V_Activity[2017,fall,15,IMPSOLAR,2017]
      0.012104299451098359    V_Activity[2017,fall,15,LOCAL,2017]
      0.08188293933226692     V_Activity[2017,fall,15,TRANS,2017]
      0.011994052691689808    V_Activity[2017,fall,16,DIST,2017]
      0.04764882306542146     V_Activity[2017,fall,16,EC_SOLPV,2017]
      0.13280782747718584     V_Activity[2017,fall,16,IMPSOLAR,2017]
      0.011994052691689808    V_Activity[2017,fall,16,LOCAL,2017]
      0.04478989368149617     V_Activity[2017,fall,16,TRANS,2017]
      0.01177228018257723     V_Activity[2017,fall,17,DIST,2017]
      0.013466346582678139    V_Activity[2017,fall,17,EC_SOLPV,2017]
      0.03753369167680806     V_Activity[2017,fall,17,IMPSOLAR,2017]
      0.01177228018257723     V_Activity[2017,fall,17,LOCAL,2017]
      0.012658365787717452    V_Activity[2017,fall,17,TRANS,2017]
